0.276547	0.276547	
0.945723	0.945723	
1.570515	1.570515	
1.741224	1.741224	
1.901689	1.901689	
2.028013	2.028013	
2.191893	2.191893	
2.348945	2.348945	
2.502582	2.502582	
2.635734	2.635734	
2.826928	2.826928	
3.465376	3.465376	
4.120896	4.120896	
4.271119	4.271119	
4.445241	4.445241	
4.578394	4.578394	
4.755930	4.755930	
4.867000	4.867000	
5.049548	5.049548	
5.199772	5.199772	
5.384136	5.384136	
6.036242	6.036242	
6.689000	6.689000	
6.848813	6.848813	
7.002450	7.002450	
7.159502	7.159502	
7.330210	7.330210	
7.490675	7.490675	
7.651141	7.651141	
7.811607	7.811607	
7.989143	7.989143	
8.692000	8.692000	
9.303596	9.303596	
9.450406	9.450406	
9.631356	9.631356	
9.764509	9.764509	
9.918146	9.918146	
10.088854	10.088854	
10.259562	10.259562	
10.409786	10.409786	
10.583908	10.583908	
11.257000	11.257000	
11.891533	11.891533	
12.048000	12.048000	
12.222707	12.222707	
12.396829	12.396829	
12.564123	12.564123	
12.731417	12.731417	
12.874812	12.874812	
13.045520	13.045520	
13.216228	13.216228	
13.885404	13.885404	
14.520439	14.520439	
14.688000	14.688000	
14.861855	14.861855	
15.015493	15.015493	
15.186201	15.186201	
15.322767	15.322767	
15.507132	15.507132	
15.667598	15.667598	
15.888000	15.888000	
19.197000	19.197000	
