onset,offset,pitch,note,octave
0.631,0.816,55,G,4
1.002,1.153,59,B,4
1.316,1.455,62,D,5
1.617,1.78,59,B,4
1.966,2.117,55,G,4
2.291,2.453,59,B,4
2.627,2.778,62,D,5
3.127,3.289,67,G,5
3.44,3.603,64,E,5
3.765,3.928,67,G,5
4.09,4.253,67,G,5
4.415,4.578,64,E,5
4.741,4.916,64,E,5
5.043,5.217,60,C,5
5.403,5.566,60,C,5
5.74,5.891,57,A,4
6.053,6.216,64,E,5
6.39,6.553,67,G,5
6.715,6.878,67,G,5
7.029,7.18,64,E,5
7.365,7.539,64,E,5
7.702,7.865,67,G,5
8.015,8.201,71,B,5
8.352,8.538,74,D,6
8.689,8.851,71,B,5
9.026,9.2,74,D,6
9.351,9.525,74,D,6
9.676,9.838,71,B,5
10.024,10.187,71,B,5
10.337,10.512,67,G,5
10.675,10.861,67,G,5
11.012,11.174,64,E,5
11.36,11.511,71,B,5
11.674,11.848,74,D,6
12.01,12.173,74,D,6
12.335,12.498,71,B,5
12.672,12.858,71,B,5
13.02,13.195,74,D,6
13.345,13.543,78,F#,6
13.682,13.856,81,A,6
14.03,14.193,78,F#,6
14.356,14.53,81,A,6
14.692,14.855,81,A,6
15.006,15.168,78,F#,6
15.366,15.505,78,F#,6
15.656,15.853,74,D,6
16.016,16.19,74,D,6
16.341,16.527,71,B,5
