onset,offset,pitch,note,octave
1.704,1.994,69,A,5
2.249,2.47,72,C,6
2.714,3.236,76,E,6
3.48,3.724,72,C,6
4.002,4.269,72,C,6
4.513,4.757,76,E,6
5.001,5.256,71,B,5
5.779,6.046,67,G,5
6.324,6.557,70,A#,5
6.824,7.323,74,D,6
7.602,7.834,70,A#,5
8.112,8.368,70,A#,5
8.612,8.879,74,D,6
9.122,9.378,69,A,5
9.924,10.191,65,F,5
10.458,10.701,68,G#,5
10.957,11.456,72,C,6
11.723,11.967,68,G#,5
12.222,12.513,68,G#,5
12.745,13.035,72,C,6
13.279,13.546,67,G,5
14.092,14.347,64,E,5
14.811,15.078,69,A,5
15.624,15.891,69,A,5
16.123,16.379,66,F#,5
16.646,16.89,69,A,5
17.133,17.4,68,G#,5
17.667,18.236,64,E,5
18.492,18.736,71,B,5
18.979,19.235,74,D,6
19.769,20.024,74,D,6
20.268,20.547,71,B,5
20.802,21.046,74,D,6
21.301,21.545,72,C,6
21.812,22.346,69,A,5
22.625,22.88,69,A,5
23.101,23.356,72,C,6
23.89,24.134,72,C,6
24.657,24.924,70,A#,5
25.167,25.423,74,D,6
25.678,25.934,69,A,5
26.491,26.746,65,F,5
27.025,27.222,68,G#,5
27.513,27.629,72,C,6
28.047,28.291,70,A#,5
28.546,28.801,67,G,5
29.092,29.312,70,A#,5
29.568,29.823,68,G#,5
30.102,30.613,65,F,5
30.868,31.112,65,F,5
31.402,31.634,69,A,5
32.168,32.412,69,A,5
32.946,33.19,68,G#,5
33.434,33.712,66,F#,5
