onset,offset,pitch,note,octave
0.703,0.935,55,G,4
1.156,1.284,58,A#,4
1.469,1.655,62,D,5
1.829,1.945,58,A#,4
2.166,2.294,55,G,4
2.503,2.596,58,A#,4
2.839,2.979,62,D,5
3.165,3.292,65,F,5
3.49,3.664,62,D,5
3.861,3.989,65,F,5
4.175,4.326,69,A,5
4.523,4.662,65,F,5
4.848,4.999,62,D,5
5.196,5.324,62,D,5
5.51,5.649,58,A#,4
5.846,5.963,58,A#,4
6.173,6.335,62,D,5
6.521,6.637,65,F,5
6.846,6.997,69,A,5
7.183,7.31,65,F,5
7.508,7.647,62,D,5
7.833,7.972,65,F,5
8.158,8.332,69,A,5
8.506,8.634,72,C,6
8.82,8.971,69,A,5
9.145,9.284,72,C,6
9.47,9.621,76,E,6
9.795,9.934,72,C,6
10.12,10.294,69,A,5
10.457,10.584,69,A,5
10.758,10.886,65,F,5
11.072,11.211,65,F,5
11.421,12.199,62,D,5
12.396,12.582,70,A#,5
12.722,12.907,74,D,6
13.069,13.243,74,D,6
13.395,13.557,70,A#,5
13.708,13.883,70,A#,5
14.045,14.208,74,D,6
14.37,14.556,77,F,6
14.707,14.846,81,A,6
15.032,15.218,77,F,6
15.531,15.682,82,A#,6
15.868,16.019,79,G,6
16.193,16.355,76,E,6
16.53,16.657,76,E,6
16.855,16.994,72,C,6
17.18,17.296,72,C,6
